# opm_root=out/opm600/j1800-expansion-final
# swiss_ephe=/Users/rzliu/Developer/OpenDestiny/swisseph/ephe flags=137266
# de441=/Users/rzliu/Developer/OpenDestiny/ephemeris-data/nasa-bsp/planetary/de441.bsp nodes_per_segment=512 emrat=81.300568221497215
body samples swiss_p50 swiss_p95 swiss_p99 swiss_max swiss_worst_jd opm_p50 opm_p95 opm_p99 opm_max opm_worst_jd max_ratio_opm_over_swiss
sun 624835 0.000452977601 0.00115497727 0.00157374156 0.00308471282 2498117.669019319 8.23704962e-05 0.000291844603 0.000386299229 0.000563664731 2435591.262078892 0.18272843
moon 4080403 0.000184101231 0.000386204134 0.00048296923 0.0010369252 2414501.356095929 0.0001967499 0.00034452193 0.000386525848 0.00051001442 2414282.569643699 0.49185266
mercury 1278397 0.000481095299 0.00129920731 0.00181349363 0.00401598341 2562384.013166993 0.00010510737 0.000324736641 0.000498562792 0.00116482204 2550688.943307308 0.290046527
venus 500895 0.000462713347 0.00204014368 0.00391116636 0.0108967445 2498117.362553176 0.000128814056 0.000638418677 0.0011102823 0.00236904143 2512716.193911269 0.217408183
mars 164306 0.000386307952 0.00168315769 0.00272152377 0.00557578337 2514452.408622881 0.000146878069 0.000596276455 0.000945985577 0.00212817294 2509780.824294676 0.381681425
jupiter 37963 0.00023579013 0.000556686894 0.000725644417 0.00132113917 2583955.461267374 0.000182995801 0.000361566938 0.000435818464 0.000593026224 2538418.173074132 0.44887491
saturn 32320 0.000242597628 0.00058131272 0.000829570596 0.00133082386 2560480.461019158 0.000180810983 0.000353436669 0.000444912746 0.000609277303 2386130.267384383 0.45781964
uranus 14878 0.000182823335 0.000414501509 0.00052980046 0.000746139766 2414395.610161821 0.00018444381 0.000341017164 0.000390727437 0.000468010443 2411835.549897398 0.627242327
neptune 11800 0.000178104968 0.000369306567 0.000441453879 0.000609077107 2530496.151107186 0.000204950827 0.000379094696 0.000434021059 0.00050472354 2406529.660216185 0.828669366
pluto 11800 0.000172698682 0.000370658995 0.000520174599 0.000886474221 2526498.981226090 0.000146787883 0.00033061385 0.000421938835 0.000498859243 2541919.753796087 0.562745347
