# opm_root=out/opm600/j1800-expansion-final
# swiss_ephe=/Users/rzliu/Developer/OpenDestiny/swisseph/ephe flags=137522
# de441=/Users/rzliu/Developer/OpenDestiny/ephemeris-data/nasa-bsp/planetary/de441.bsp nodes_per_segment=512 include_endpoints=True
body samples opm_pos_p99_km opm_pos_max_km swiss_pos_p99_km swiss_pos_max_km opm_vel_p99_mm_s opm_vel_max_mm_s swiss_vel_p99_mm_s swiss_vel_max_mm_s
sun 626052 0.0356756311 0.0505709093 1.20478868 1.76369033 1.27372333 2.25723197 3.10422591 28.6735383
moon 4088356 0.00076624923 0.000972202588 0.00100251844 0.00191188835 0.0501344462 0.109519912 0.175665941 0.490751872
mercury 1280888 0.115946633 0.148890095 0.322337797 0.58639441 1.38613183 3.34646145 11.2118169 26.0210416
venus 501664 0.183287974 0.224356395 0.550447638 1.041954 1.36157942 2.57280493 6.87711552 14.0033455
mars 164480 0.579165188 0.767896198 1.61862301 2.89754752 0.988818435 1.69419896 2.44626313 18.7714538
jupiter 38036 1.60963373 1.89300158 3.03251329 4.21867869 0.702423171 1.1769047 0.893859554 6.9833769
saturn 32382 3.32982931 4.02155364 7.63161605 11.2463322 1.34730297 2.03248396 1.59487816 11.9963962
uranus 14906 6.107438 6.98124832 8.87388211 12.1344743 1.45272057 2.41817727 1.38258669 4.65186292
neptune 11822 10.2269538 10.9995894 16.5012932 20.4543708 1.88287488 2.95199852 2.21911617 5.36886738
pluto 11822 10.7212266 12.3776251 18.7095232 22.4481007 1.49640641 2.32780588 2.23812453 6.33909363
