# opm_root=out/opm600/j1800-expansion-final
# de441=/Users/rzliu/Developer/OpenDestiny/ephemeris-data/nasa-bsp/planetary/de441.bsp nodes_per_segment=512 include_endpoints=True
body samples pos_p50_km pos_p95_km pos_p99_km pos_max_km pos_worst_jd vel_p50_mm_s vel_p95_mm_s vel_p99_mm_s vel_max_mm_s vel_worst_jd vel_max_au_day
sun 626052 0.0203534237 0.0310694049 0.0356756311 0.0505709093 2586365.000000000 0.0653696492 0.565731773 1.27372333 2.25723197 2418605.000000000 1.30366055e-09
mercury 1280888 0.0621762813 0.101043929 0.115946633 0.148890095 2581644.491441436 0.285879341 0.945116882 1.38613183 3.34646145 2445784.204835373 1.93274321e-09
venus 501664 0.116148078 0.169023678 0.183287974 0.224356395 2445360.550042671 0.257536696 0.865137365 1.36157942 2.57280493 2588131.612456619 1.48591918e-09
emb 308400 0.0801349088 0.257819591 0.32384145 0.446240887 2524350.538831282 0.245735365 0.724951423 1.05555496 2.24877587 2527153.067137463 1.29877674e-09
moon 4088356 0.000480090545 0.000701311611 0.00076624923 0.000972202588 2589575.492056723 0.00847977971 0.0320744221 0.0501344462 0.109519912 2566354.481189854 6.3253042e-11
mars 164480 0.231285936 0.471606936 0.579165188 0.767896198 2514501.819031479 0.315645284 0.69769313 0.988818435 1.69419896 2432996.107296359 9.78481774e-10
jupiter 38036 0.973292487 1.48686288 1.60963373 1.89300158 2475733.120021583 0.186077434 0.477322173 0.702423171 1.1769047 2469541.267184210 6.79719343e-10
saturn 32382 1.71350728 2.80443858 3.32982931 4.02155364 2385899.929511733 0.174746034 0.715653335 1.34730297 2.03248396 2514547.379618185 1.17385771e-09
uranus 14906 3.60295607 5.47365609 6.107438 6.98124832 2508046.653390887 0.24467909 0.939844353 1.45272057 2.41817727 2427545.000000000 1.39661424e-09
neptune 11822 6.14317776 9.34799356 10.2269538 10.9995894 2521426.848656650 0.297802796 1.30675148 1.88287488 2.95199852 2401567.596222540 1.70492181e-09
pluto 11822 6.3278956 9.64237694 10.7212266 12.3776251 2551545.000000000 0.267382841 1.0593793 1.49640641 2.32780588 2551501.554299231 1.34442039e-09
